Fältnamn på K10_SKV2110-34-04-21-02;;;;;
;;;;;
;;;;;
Attribut;Fältnamn;Datatyp;Obl.;*/+/-;Regel
Framställningsdatum;DatFramst;Datum_A;J;;
Framställningstid;TidFramst;Tid_A;J;;
Fältkodsnummer;FältKod;Numeriskt_E;N;;
Intern information för framställande program/system;SystemInfo;Str_250;N;;
Korrekt person-/samordningsnummer eller organisationsnummer som inleds med 161 (dödsbo) eller 163 (gemensamma distriktet);PersOrgNr;Orgnr_Id_PD;J;;
Uppgiftslämnarens namn;Namn;Str_250;N;;
Företagets organisationsnummer;4530;Orgnr_Id_O;J;;Ingen kontroll av värdet sker om 7050 är ifyllt
Antal ägda andelar vid årets ingång;4531;Numeriskt_B;N;;
Totala antalet andelar i hela företaget vid årets ingång;4532;Numeriskt_B;N;;
Bolaget är ett utländskt bolag;7050;Str_X;N;;
1.1 Årets gränsbelopp enligt förenklingsregeln;4511;Numeriskt_B;N;+;Regel_E
1.2 Sparat utdelningsutrymme från föregående år x 103 %;4501;Numeriskt_B;N;+;Regel_E
1.3 Gränsbelopp enligt förenklingsregeln;4502;Numeriskt_B;N;*;Regel_E
1.4 Vid avyttring eller gåva innan utdelningstillfället...;4720;Numeriskt_B;N;-;Regel_E
1.5 Gränsbelopp att ytnyttja vid  p. 1.7 nedan;4503;Numeriskt_B;N;*;Regel_E
1.6 Utdelning;4504;Numeriskt_B;N;+;Regel_E
1.7 Gränsbeloppet enligt p. 1.5 ovan;4721;Numeriskt_B;N;-;Regel_E
1.8 Utdelning som beskattas i tjänst;4505;Numeriskt_B;N;+;Regel_E
1.9 Sparat utdelningsutrymme;4722;Numeriskt_B;N;-;Regel_E
1.10 Vid delavyttring eller gåva efter utdelningstillfället : sparat utdelningsutrymme som är hänförligt till de överlåtna andelarna enligt p. 3.7a;4723;Numeriskt_B;N;-;Regel_E
1.11 Sparat utdelningsutrymme till nästa år;4724;Numeriskt_B;N;*;Regel_E
1.12 Utdelning;4506;Numeriskt_B;N;+;Regel_E
1.13 Belopp som beskattas i tjänst enligt p. 1.8 ovan;4725;Numeriskt_B;N;-;Regel_E
1.14 Utdelning i kapital;4507;Numeriskt_B;N;*;Regel_E
1.15 Beloppet i p. 1.5 x 2/3;4508;Numeriskt_B;N;+;Regel_E
1.16 Resterande utdelning;4509;Numeriskt_B;N;+;Regel_E
1.17 Utdelning som ska tas upp i kapital;4515;Numeriskt_B;N;*;Regel_E
2.1 Omkostnadsbelopp vid årets ingång (alternativt omräknat omkostnadsbelopp) x 9 %;4520;Numeriskt_B;N;+;Regel_F
2.2 Lönebaserat utrymme enligt avsnitt D p. 6.11;4521;Numeriskt_B;N;+;Regel_F
2.3 Sparat utdelningsutrymme från föregående år x 103 %;4522;Numeriskt_B;N;+;Regel_F
2.4 Gränsbelopp enligt huvudregeln;4523;Numeriskt_B;N;*;Regel_F
2.5 Vid avyttring eller gåva..innanutdelningstillfället...;4730;Numeriskt_B;N;-;Regel_F
2.6 Gränsbelopp att utnyttja vid punkt 2.8 nedan;4524;Numeriskt_B;N;*;Regel_F
2.7 Utdelning;4525;Numeriskt_B;N;+;Regel_F
2.8 Gränsbeloppet enligt p. 2.6 ovan;4731;Numeriskt_B;N;-;Regel_F
2.9 Utdelning som beskattas i tjänst;4526;Numeriskt_B;N;+;Regel_F
2.10 Sparat utdelningsutrymme;4732;Numeriskt_B;N;-;Regel_F
2.11 Vid delavyttring eller gåva efter utdelningstillfället......;4733;Numeriskt_B;N;-;Regel_F
2.12 Sparat utdelningsutrymme till nästa år;4734;Numeriskt_B;N;*;Regel_F
2.13 Utdelning;4527;Numeriskt_B;N;+;Regel_F
2.14 Belopp som beskattas i tjänst enligt p. 2.9 ovan;4735;Numeriskt_B;N;-;Regel_F
2.15 Utdelning i kapital;4528;Numeriskt_B;N;*;Regel_F
2.16 Beloppet i p. 2.6 x 2/3. Om beloppet i p. ...;4529;Numeriskt_B;N;+;Regel_F
2.17 Resterande utdelning...;4540;Numeriskt_B;N;+;Regel_F
2.18 Utdelning som ska tas upp i kapital;4541;Numeriskt_B;N;*;Regel_F
Antal sålda andelar;4543;Numeriskt_B;N;*;
Försäljningsdatum;4544;Datum_D;N;;
3.1 Ersättning minus utgifter för avyttring;4545;Numeriskt_B;N;+;
3.2 Verkligt omkostnadsbelopp;4740;Numeriskt_B;N;-;
3.3 Vinst;4546;Numeriskt_B;N;+;
3.4a. Förlust;4741;Numeriskt_B;N;-;
3.4b. Förlust i p. 3.4a x 2/3;4742;Numeriskt_B;N;*;
3.5 Ersättning minus utgifter för avyttring...;4547;Numeriskt_B;N;+;
3.6 Omkostnadsbelopp (alternativt omräknat omkostnadsbelopp);4743;Numeriskt_B;N;-;
3.7a. Om utdelning erhållits under året...;4744;Numeriskt_B;N;-;
3.7b. Om utdelning erhållits efter delavyttring...;4745;Numeriskt_B;N;-;
3.8 Skattepliktig vinst som ska beskattas i tjänst. (Max 6 820 000 kr);4548;Numeriskt_B;N;*;
3.9 Vinst enligt p. 3.3 ovan;4549;Numeriskt_B;N;+;
3.10 Belopp som beskattas i tjänst enligt p. 3.8 (max 6 820 000 kr;4746;Numeriskt_B;N;-;
3.11 Vinst i inkomstslaget kapital;4550;Numeriskt_B;N;*;
3.12. Belopp antingen enligt p. 3.7a x 2/3 eller 3.7b x 2/3. Om beloppet i p. 3.7a eller 3.7b är större än vinsten i p. 3.11 tas istället 2/3 av vinsten i p. 3.11 upp.;4551;Numeriskt_B;N;+;
"3.13 Resterande vinst (p. 3.11 minus antingen p. 3.7a eller
p. 3.7b). Beloppet kan inte bli lägre än 0 kr.";4552;Numeriskt_B;N;+;
3.14 Vinst som ska tas upp i inkomstslaget kapital;4553;Numeriskt_B;N;*;
Den i avsnitt B redovisade överlåtelsen avser avyttring (ej efterföljande byte) av andelar som har förvärvats genom andelsbyte;4555;Str_X;N;;
4.1 Det omräknade omkostnadsbeloppet har beräknats enligt Indexregeln (andelar anskaffade före 1990);4556;Str_X;N;;
4.2 Det omräknade omkostnadsbeloppet har beräknats enligt Kapitalunderlagsregeln (andelar anskaffade före 1992);4557;Str_X;N;;
Lönekravet uppfylls av närstående. Personnummer;4560;Orgnr_Id_PD;N;;
5.1 Din kontanta ersättning från företaget och dess dotterföretag under 2020;4561;Numeriskt_B;N;*;
5.2 Sammanlagd kontant ersättning i företaget och dess dotterföretag under 2020;4562;Numeriskt_B;N;*;
5.3 (Punkt 5.2 x 5%) + 400 800 kr;4563;Numeriskt_B;N;*;
Om löneuttag enligt ovan gjorts i dotterföretag. Organisationsnummer;4564;Orgnr_Id_O;N;;Ingen kontroll av värdet sker om 7060 är ifyllt
Om löneuttag enligt ovan gjorts i dotterföretag. Organisationsnummer;4565;Orgnr_Id_O;N;;Ingen kontroll av värdet sker om 7060 är ifyllt
Om löneuttag enligt ovan gjorts i dotterföretag. Organisationsnummer;4566;Orgnr_Id_O;N;;Ingen kontroll av värdet sker om 7060 är ifyllt
Utländskt dotterföretag;7060;Str_X;N;;
6.1 Kontant ersättning till arbetstagare under 2020...;4570;Numeriskt_B;N;+;
6.2 Kontant ersättning under 2020...;4571;Numeriskt_B;N;+;
6.3 Löneunderlag;4572;Numeriskt_B;N;*;
6.4 Löneunderlag enligt p. 6.3 x 50 %;4573;Numeriskt_B;N;*;
6.5 Ditt lönebaserade utrymme för andelar ägda under hela 2020...;4576;Numeriskt_B;N;*;
6.6 Kontant ersättning till arbetstagare under...;4577;Numeriskt_B;N;+;
6.7 Kontant ersättning under...;4578;Numeriskt_B;N;+;
6.8 Löneunderlag avseende den tid under 2020 andelarna ägts;4579;Numeriskt_B;N;*;
6.9 Löneunderlag enligt p. 6.8 x 50 %;4580;Numeriskt_B;N;+;
6.10 Ditt lönebaserade utrymme för andelar som anskaffats under 2020.;4583;Numeriskt_B;N;*;
6.11 Totalt lönebaserat utrymme;4584;Numeriskt_B;N;*;